1700000000.000 | database-1 | INFO | database-1 cache hit ratio 0.93
1700000090.000 | payment-service-1 | INFO | payment-service-1 processed request in 18.0ms
1700000091.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.78
1700000091.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.86
1700000091.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000092.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000092.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.77
1700000093.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000094.000 | database-1 | INFO | database-1 health check OK
1700000095.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000096.000 | database-1 | INFO | database-1 processed request in 8.8ms
1700000097.000 | cache-service-1 | INFO | cache-service-1 processed request in 2.0ms
1700000097.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.73
1700000098.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000098.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000099.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.7ms
1700000099.000 | cache-service-1 | INFO | cache-service-1 connection pool size 13
1700000100.000 | order-service-1 | INFO | order-service-1 health check OK
1700000100.000 | frontend-1 | INFO | frontend-1 health check OK
1700000100.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000101.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.92
1700000101.000 | order-service-1 | INFO | order-service-1 health check OK
1700000102.000 | cache-service-1 | INFO | cache-service-1 processed request in 2.2ms
1700000102.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000102.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.98
1700000103.000 | frontend-1 | INFO | frontend-1 connection pool size 12
1700000103.000 | database-1 | INFO | database-1 health check OK
1700000103.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.6ms
1700000104.000 | frontend-1 | INFO | frontend-1 health check OK
1700000104.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000105.000 | database-1 | INFO | database-1 cache hit ratio 0.97
1700000105.000 | payment-service-1 | INFO | payment-service-1 processed request in 18.0ms
1700000106.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000106.000 | payment-service-1 | INFO | payment-service-1 processed request in 15.3ms
1700000107.000 | frontend-1 | INFO | frontend-1 processed request in 12.0ms
1700000107.000 | database-1 | INFO | database-1 connection pool size 8
1700000107.000 | payment-service-1 | INFO | payment-service-1 processed request in 21.2ms
1700000108.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.88
1700000108.000 | database-1 | INFO | database-1 completed batch job
1700000108.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.6ms
1700000109.000 | order-service-1 | INFO | order-service-1 connection pool size 19
1700000110.000 | database-1 | INFO | database-1 completed batch job
1700000110.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.74
1700000111.000 | payment-service-1 | INFO | payment-service-1 connection pool size 13
1700000112.000 | database-1 | INFO | database-1 health check OK
1700000112.000 | database-1 | INFO | database-1 cache hit ratio 0.93
1700000113.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.98
1700000113.000 | database-1 | INFO | database-1 cache hit ratio 0.85
1700000113.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000114.000 | frontend-1 | INFO | frontend-1 processed request in 13.8ms
1700000114.000 | frontend-1 | INFO | frontend-1 processed request in 11.6ms
1700000115.000 | order-service-1 | INFO | order-service-1 connection pool size 17
1700000115.000 | database-1 | INFO | database-1 cache hit ratio 0.73
1700000116.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.80
1700000116.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.87
1700000116.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000117.000 | payment-service-1 | INFO | payment-service-1 processed request in 15.3ms
1700000117.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000118.000 | database-1 | INFO | database-1 cache hit ratio 0.89
1700000118.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000118.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000119.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.81
1700000119.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000120.000 | frontend-1 | INFO | frontend-1 health check OK
1700000120.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.83
1700000120.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.81
1700000121.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000121.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000122.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.76
1700000123.000 | database-1 | INFO | database-1 cache hit ratio 0.73
1700000124.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000124.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.71
1700000124.000 | frontend-1 | INFO | frontend-1 processed request in 9.5ms
1700000125.000 | frontend-1 | INFO | frontend-1 connection pool size 16
1700000125.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000126.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000126.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000127.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000128.000 | order-service-1 | INFO | order-service-1 health check OK
1700000129.000 | database-1 | INFO | database-1 connection pool size 14
1700000130.000 | order-service-1 | INFO | order-service-1 connection pool size 5
1700000130.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.97
1700000130.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.72
1700000131.000 | database-1 | INFO | database-1 connection pool size 12
1700000132.000 | order-service-1 | INFO | order-service-1 processed request in 22.7ms
1700000132.000 | order-service-1 | INFO | order-service-1 connection pool size 15
1700000132.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.97
1700000133.000 | cache-service-1 | INFO | cache-service-1 connection pool size 16
1700000133.000 | order-service-1 | INFO | order-service-1 connection pool size 13
1700000133.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000134.000 | database-1 | INFO | database-1 completed batch job
1700000135.000 | payment-service-1 | INFO | payment-service-1 connection pool size 17
1700000135.000 | payment-service-1 | INFO | payment-service-1 connection pool size 10
1700000136.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.96
1700000136.000 | payment-service-1 | INFO | payment-service-1 processed request in 18.8ms
1700000137.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.85
1700000137.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000138.000 | database-1 | INFO | database-1 processed request in 8.0ms
1700000138.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000139.000 | database-1 | INFO | database-1 connection pool size 10
1700000139.000 | payment-service-1 | INFO | payment-service-1 connection pool size 11
1700000139.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.82
1700000140.000 | frontend-1 | INFO | frontend-1 processed request in 12.3ms
1700000140.000 | database-1 | INFO | database-1 completed batch job
1700000141.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.94
1700000141.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000141.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000142.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000142.000 | database-1 | INFO | database-1 connection pool size 9
1700000142.000 | order-service-1 | INFO | order-service-1 processed request in 22.6ms
1700000143.000 | payment-service-1 | INFO | payment-service-1 connection pool size 6
1700000144.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000145.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.95
1700000146.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000147.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.86
1700000148.000 | database-1 | INFO | database-1 cache hit ratio 0.75
1700000149.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.74
1700000150.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.87
1700000150.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000150.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.8ms
1700000151.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000151.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.83
1700000152.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000152.000 | database-1 | INFO | database-1 cache hit ratio 0.98
1700000153.000 | order-service-1 | INFO | order-service-1 connection pool size 11
1700000153.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.87
1700000154.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000154.000 | payment-service-1 | INFO | payment-service-1 processed request in 18.2ms
1700000154.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000155.000 | database-1 | INFO | database-1 health check OK
1700000156.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000157.000 | order-service-1 | INFO | order-service-1 processed request in 25.9ms
1700000157.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000158.000 | database-1 | INFO | database-1 connection pool size 13
1700000158.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000159.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.8ms
1700000159.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.98
1700000160.000 | frontend-1 | INFO | frontend-1 processed request in 11.6ms
1700000160.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000161.000 | order-service-1 | INFO | order-service-1 processed request in 23.6ms
1700000162.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.70
1700000163.000 | order-service-1 | INFO | order-service-1 health check OK
1700000163.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.83
1700000163.000 | order-service-1 | INFO | order-service-1 connection pool size 8
1700000164.000 | order-service-1 | INFO | order-service-1 connection pool size 16
1700000164.000 | cache-service-1 | INFO | cache-service-1 connection pool size 12
1700000164.000 | frontend-1 | INFO | frontend-1 health check OK
1700000165.000 | payment-service-1 | INFO | payment-service-1 processed request in 19.2ms
1700000165.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.85
1700000165.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000166.000 | database-1 | INFO | database-1 completed batch job
1700000166.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.92
1700000166.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000167.000 | frontend-1 | INFO | frontend-1 health check OK
1700000167.000 | order-service-1 | INFO | order-service-1 health check OK
1700000168.000 | order-service-1 | INFO | order-service-1 processed request in 26.5ms
1700000169.000 | frontend-1 | INFO | frontend-1 connection pool size 7
1700000169.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.98
1700000169.000 | database-1 | INFO | database-1 health check OK
1700000170.000 | cache-service-1 | INFO | cache-service-1 processed request in 1.8ms
1700000170.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000170.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000171.000 | database-1 | INFO | database-1 cache hit ratio 0.82
1700000171.000 | database-1 | INFO | database-1 health check OK
1700000172.000 | order-service-1 | INFO | order-service-1 health check OK
1700000173.000 | database-1 | INFO | database-1 completed batch job
1700000173.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000174.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000174.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000175.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.86
1700000175.000 | database-1 | INFO | database-1 health check OK
1700000175.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000176.000 | database-1 | INFO | database-1 cache hit ratio 0.97
1700000177.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000178.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000178.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000179.000 | order-service-1 | INFO | order-service-1 cache hit ratio 0.78
1700000179.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000179.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000180.000 | order-service-1 | INFO | order-service-1 connection pool size 13
1700000181.000 | payment-service-1 | INFO | payment-service-1 processed request in 17.3ms
1700000182.000 | database-1 | INFO | database-1 cache hit ratio 0.92
1700000182.000 | frontend-1 | INFO | frontend-1 health check OK
1700000182.000 | cache-service-1 | INFO | cache-service-1 completed batch job
1700000183.000 | cache-service-1 | INFO | cache-service-1 connection pool size 19
1700000183.000 | frontend-1 | INFO | frontend-1 health check OK
1700000183.000 | frontend-1 | INFO | frontend-1 health check OK
1700000184.000 | payment-service-1 | INFO | payment-service-1 connection pool size 16
1700000184.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000185.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000186.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.93
1700000186.000 | frontend-1 | INFO | frontend-1 processed request in 11.2ms
1700000187.000 | database-1 | INFO | database-1 processed request in 7.8ms
1700000187.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.77
1700000188.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000188.000 | frontend-1 | INFO | frontend-1 completed batch job
1700000189.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000190.000 | payment-service-1 | INFO | payment-service-1 processed request in 17.3ms
1700000190.000 | database-1 | INFO | database-1 connection pool size 9
1700000191.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000191.000 | cache-service-1 | INFO | cache-service-1 connection pool size 10
1700000191.000 | database-1 | INFO | database-1 cache hit ratio 0.98
1700000192.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.88
1700000193.000 | frontend-1 | INFO | frontend-1 connection pool size 18
1700000193.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000194.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000195.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000195.000 | cache-service-1 | INFO | cache-service-1 cache hit ratio 0.87
1700000195.000 | database-1 | INFO | database-1 processed request in 7.4ms
1700000196.000 | cache-service-1 | INFO | cache-service-1 processed request in 2.1ms
1700000196.000 | database-1 | INFO | database-1 completed batch job
1700000196.000 | order-service-1 | INFO | order-service-1 health check OK
1700000197.000 | cache-service-1 | INFO | cache-service-1 connection pool size 6
1700000198.000 | order-service-1 | INFO | order-service-1 completed batch job
1700000198.000 | database-1 | INFO | database-1 completed batch job
1700000198.000 | payment-service-1 | INFO | payment-service-1 processed request in 18.3ms
1700000199.000 | order-service-1 | INFO | order-service-1 health check OK
1700000199.000 | payment-service-1 | INFO | payment-service-1 connection pool size 17
1700000199.000 | database-1 | INFO | database-1 processed request in 8.1ms
1700000200.000 | order-service-1 | INFO | order-service-1 response time degraded: 375ms
1700000201.000 | order-service-1 | INFO | order-service-1 request queue depth: 158
1700000201.000 | payment-service-1 | INFO | payment-service-1 connection pool size 16
1700000201.000 | order-service-1 | INFO | order-service-1 response time degraded: 375ms
1700000202.000 | database-1 | INFO | database-1 cache hit ratio 0.84
1700000202.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.87
1700000202.000 | database-1 | INFO | database-1 connection pool size 10
1700000203.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.97
1700000203.000 | database-1 | INFO | database-1 cache hit ratio 0.93
1700000204.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000204.000 | database-1 | INFO | database-1 connection pool size 6
1700000205.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000206.000 | database-1 | INFO | database-1 completed batch job
1700000207.000 | payment-service-1 | INFO | payment-service-1 cache hit ratio 0.87
1700000207.000 | payment-service-1 | INFO | payment-service-1 connection pool size 17
1700000207.000 | order-service-1 | INFO | order-service-1 request queue depth: 101
1700000208.000 | frontend-1 | INFO | frontend-1 processed request in 11.2ms
1700000208.000 | payment-service-1 | INFO | payment-service-1 completed batch job
1700000209.000 | database-1 | INFO | database-1 processed request in 9.2ms
1700000210.000 | frontend-1 | INFO | frontend-1 processed request in 10.5ms
1700000210.000 | database-1 | INFO | database-1 processed request in 8.3ms
1700000211.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000211.000 | order-service-1 | INFO | order-service-1 GC pressure high
1700000211.000 | frontend-1 | INFO | frontend-1 processed request in 12.2ms
1700000212.000 | database-1 | INFO | database-1 cache hit ratio 0.91
1700000212.000 | cache-service-1 | INFO | cache-service-1 health check OK
1700000213.000 | payment-service-1 | INFO | payment-service-1 health check OK
1700000213.000 | database-1 | INFO | database-1 health check OK
1700000214.000 | frontend-1 | INFO | frontend-1 cache hit ratio 0.87
1700000214.000 | order-service-1 | INFO | order-service-1 CPU usage critical: 120%
